2026-07-31 00:55:18 INFO     | DexSniper            | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-31 00:55:50 INFO     | DexSniper            | ==================================================
2026-07-31 00:55:50 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:56:20 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xfF57b02f... Pair: 0x54F496D1...
2026-07-31 00:56:21 INFO     | DexSniper            |   → AIOne (AONE)
2026-07-31 00:57:14 WARNING  | DexSniper            |   → 🚫 SCAM DETECTED: AI flagged: Short name and symbols imitate well-known brands without any clear relevance to the token's actual purpose.
2026-07-31 00:57:14 INFO     | DexSniper            | ==================================================
2026-07-31 00:57:14 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:57:14 INFO     | DexSniper            |   Runtime: 0:01:54.987752
2026-07-31 00:57:14 INFO     | DexSniper            |   Pairs detected: 1
2026-07-31 00:57:14 INFO     | DexSniper            |   Scams filtered: 1
2026-07-31 00:57:14 INFO     | DexSniper            |   Trades executed: 0
2026-07-31 00:57:14 INFO     | DexSniper            |   Total invested: 0.0 BSC
2026-07-31 00:57:14 INFO     | DexSniper            | ==================================================
2026-07-31 00:57:14 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:57:45 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xDfAD002F... Pair: 0x87B68bdC...
2026-07-31 00:57:46 INFO     | DexSniper            |   → 银河导航者  (银航)
2026-07-31 00:57:52 WARNING  | DexSniper            |   → 🚫 SCAM DETECTED: AI flagged: Short name and symbol mimic well-known brands/hype words, along with obvious spelling errors
2026-07-31 00:57:52 INFO     | DexSniper            | ==================================================
2026-07-31 00:57:52 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:57:52 INFO     | DexSniper            |   Runtime: 0:02:32.911439
2026-07-31 00:57:52 INFO     | DexSniper            |   Pairs detected: 2
2026-07-31 00:57:52 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 00:57:52 INFO     | DexSniper            |   Trades executed: 0
2026-07-31 00:57:52 INFO     | DexSniper            |   Total invested: 0.0 BSC
2026-07-31 00:57:52 INFO     | DexSniper            | ==================================================
2026-07-31 00:57:52 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:58:22 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xfc42704c... Pair: 0xFB345F9C...
2026-07-31 00:58:23 INFO     | DexSniper            |   → Clarus the Dogcow (CLARUS)
2026-07-31 00:58:40 ERROR    | DexSniper            | Failed to parse AI JSON: {"is_scam": true, "risk_level": "HIGH", "reasoning": "Short"}}
2026-07-31 00:58:40 INFO     | DexSniper            |   → ✅ Passed checks: Passed basic checks
2026-07-31 00:58:40 INFO     | DexSniper            | 🎯 SNIPE: Clarus the Dogcow (CLARUS) — 0.05 BSC invested
2026-07-31 00:58:40 INFO     | DexSniper            | 🆕 New pair detected! Token: 0x9A46D0cB... Pair: 0xEa34Df21...
2026-07-31 00:58:41 INFO     | DexSniper            |   → Clarus the Dogcow (CLARUS)
2026-07-31 00:58:45 ERROR    | DexSniper            | Failed to parse AI JSON: {"is_scam": true, "risk_level": "HIGH", "reasoning": "Short name and symbol suggest it's a rebranding or fake token"}}
2026-07-31 00:58:45 INFO     | DexSniper            |   → ✅ Passed checks: Passed basic checks
2026-07-31 00:58:45 INFO     | DexSniper            | 🎯 SNIPE: Clarus the Dogcow (CLARUS) — 0.05 BSC invested
2026-07-31 00:58:45 INFO     | DexSniper            | ==================================================
2026-07-31 00:58:45 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:58:45 INFO     | DexSniper            |   Runtime: 0:03:25.344424
2026-07-31 00:58:45 INFO     | DexSniper            |   Pairs detected: 4
2026-07-31 00:58:45 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 00:58:45 INFO     | DexSniper            |   Trades executed: 2
2026-07-31 00:58:45 INFO     | DexSniper            |   Total invested: 0.1 BSC
2026-07-31 00:58:45 INFO     | DexSniper            | ==================================================
2026-07-31 00:58:45 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:59:15 INFO     | DexSniper            | ==================================================
2026-07-31 00:59:15 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:59:15 INFO     | DexSniper            |   Runtime: 0:03:55.623518
2026-07-31 00:59:15 INFO     | DexSniper            |   Pairs detected: 4
2026-07-31 00:59:15 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 00:59:15 INFO     | DexSniper            |   Trades executed: 2
2026-07-31 00:59:15 INFO     | DexSniper            |   Total invested: 0.1 BSC
2026-07-31 00:59:15 INFO     | DexSniper            | ==================================================
2026-07-31 00:59:15 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:59:45 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xb9787587... Pair: 0x854AE1E7...
2026-07-31 00:59:46 INFO     | DexSniper            |   → 云端神谕  (云谕)
2026-07-31 00:59:51 ERROR    | DexSniper            | Failed to parse AI JSON: {"is_scam": true, "risk_level": "HIGH", "reasoning": "Short"}}
2026-07-31 00:59:51 INFO     | DexSniper            |   → ✅ Passed checks: Passed basic checks
2026-07-31 00:59:51 INFO     | DexSniper            | 🎯 SNIPE: 云端神谕  (云谕) — 0.05 BSC invested
2026-07-31 00:59:51 INFO     | DexSniper            | ==================================================
2026-07-31 00:59:51 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:59:51 INFO     | DexSniper            |   Runtime: 0:04:31.396143
2026-07-31 00:59:51 INFO     | DexSniper            |   Pairs detected: 5
2026-07-31 00:59:51 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 00:59:51 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 00:59:51 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 00:59:51 INFO     | DexSniper            | ==================================================
2026-07-31 00:59:51 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:00:21 INFO     | DexSniper            | ==================================================
2026-07-31 01:00:21 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:00:21 INFO     | DexSniper            |   Runtime: 0:05:01.665031
2026-07-31 01:00:21 INFO     | DexSniper            |   Pairs detected: 5
2026-07-31 01:00:21 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 01:00:21 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:00:21 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:00:21 INFO     | DexSniper            | ==================================================
2026-07-31 01:00:21 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:00:51 INFO     | DexSniper            | ==================================================
2026-07-31 01:00:51 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:00:51 INFO     | DexSniper            |   Runtime: 0:05:31.958439
2026-07-31 01:00:51 INFO     | DexSniper            |   Pairs detected: 5
2026-07-31 01:00:51 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 01:00:51 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:00:51 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:00:51 INFO     | DexSniper            | ==================================================
2026-07-31 01:00:51 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:01:21 INFO     | DexSniper            | ==================================================
2026-07-31 01:01:21 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:01:21 INFO     | DexSniper            |   Runtime: 0:06:02.225466
2026-07-31 01:01:21 INFO     | DexSniper            |   Pairs detected: 5
2026-07-31 01:01:21 INFO     | DexSniper            |   Scams filtered: 2
2026-07-31 01:01:21 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:01:21 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:01:21 INFO     | DexSniper            | ==================================================
2026-07-31 01:01:21 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:01:52 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xE69C7728... Pair: 0xeC3D9aAf...
2026-07-31 01:01:53 INFO     | DexSniper            |   → QuantumOne (QONE)
2026-07-31 01:01:57 WARNING  | DexSniper            |   → 🚫 SCAM DETECTED: AI flagged: Short
2026-07-31 01:01:57 INFO     | DexSniper            | ==================================================
2026-07-31 01:01:57 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:01:57 INFO     | DexSniper            |   Runtime: 0:06:38.127256
2026-07-31 01:01:57 INFO     | DexSniper            |   Pairs detected: 6
2026-07-31 01:01:57 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:01:57 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:01:57 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:01:57 INFO     | DexSniper            | ==================================================
2026-07-31 01:01:57 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:02:28 INFO     | DexSniper            | ==================================================
2026-07-31 01:02:28 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:02:28 INFO     | DexSniper            |   Runtime: 0:07:08.393556
2026-07-31 01:02:28 INFO     | DexSniper            |   Pairs detected: 6
2026-07-31 01:02:28 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:02:28 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:02:28 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:02:28 INFO     | DexSniper            | ==================================================
2026-07-31 01:02:28 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:02:58 INFO     | DexSniper            | ==================================================
2026-07-31 01:02:58 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:02:58 INFO     | DexSniper            |   Runtime: 0:07:38.657358
2026-07-31 01:02:58 INFO     | DexSniper            |   Pairs detected: 6
2026-07-31 01:02:58 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:02:58 INFO     | DexSniper            |   Trades executed: 3
2026-07-31 01:02:58 INFO     | DexSniper            |   Total invested: 0.15000000000000002 BSC
2026-07-31 01:02:58 INFO     | DexSniper            | ==================================================
2026-07-31 01:02:58 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:03:28 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xc31929E4... Pair: 0x0e5f189B...
2026-07-31 01:03:29 INFO     | DexSniper            |   → 兔子钻石 (兔子钻石)
2026-07-31 01:03:37 ERROR    | DexSniper            | Failed to parse AI JSON: {"is_scam": true, "risk_level": "HIGH", "reasoning": "Short"}}
2026-07-31 01:03:37 INFO     | DexSniper            |   → ✅ Passed checks: Passed basic checks
2026-07-31 01:03:37 INFO     | DexSniper            | 🎯 SNIPE: 兔子钻石 (兔子钻石) — 0.05 BSC invested
2026-07-31 01:03:37 INFO     | DexSniper            | ==================================================
2026-07-31 01:03:37 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:03:37 INFO     | DexSniper            |   Runtime: 0:08:17.803414
2026-07-31 01:03:37 INFO     | DexSniper            |   Pairs detected: 7
2026-07-31 01:03:37 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:03:37 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:03:37 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:03:37 INFO     | DexSniper            | ==================================================
2026-07-31 01:03:37 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:04:08 INFO     | DexSniper            | ==================================================
2026-07-31 01:04:08 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:04:08 INFO     | DexSniper            |   Runtime: 0:08:48.344907
2026-07-31 01:04:08 INFO     | DexSniper            |   Pairs detected: 7
2026-07-31 01:04:08 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:04:08 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:04:08 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:04:08 INFO     | DexSniper            | ==================================================
2026-07-31 01:04:08 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:04:38 INFO     | DexSniper            | ==================================================
2026-07-31 01:04:38 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:04:38 INFO     | DexSniper            |   Runtime: 0:09:18.608590
2026-07-31 01:04:38 INFO     | DexSniper            |   Pairs detected: 7
2026-07-31 01:04:38 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:04:38 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:04:38 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:04:38 INFO     | DexSniper            | ==================================================
2026-07-31 01:04:38 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:05:08 INFO     | DexSniper            | ==================================================
2026-07-31 01:05:08 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:05:08 INFO     | DexSniper            |   Runtime: 0:09:48.881682
2026-07-31 01:05:08 INFO     | DexSniper            |   Pairs detected: 7
2026-07-31 01:05:08 INFO     | DexSniper            |   Scams filtered: 3
2026-07-31 01:05:08 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:05:08 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:05:08 INFO     | DexSniper            | ==================================================
2026-07-31 01:05:08 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:05:38 INFO     | DexSniper            | 🆕 New pair detected! Token: 0xE21FAA60... Pair: 0x465a2a37...
2026-07-31 01:05:39 INFO     | DexSniper            |   → 深渊银河眼  (渊眼)
2026-07-31 01:05:44 WARNING  | DexSniper            |   → 🚫 SCAM DETECTED: AI flagged: Short name and symbol suggest it's a new or rebranded token with no clear purpose or value.
2026-07-31 01:05:45 INFO     | DexSniper            | ==================================================
2026-07-31 01:05:45 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:05:45 INFO     | DexSniper            |   Runtime: 0:10:25.379148
2026-07-31 01:05:45 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:05:45 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:05:45 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:05:45 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:05:45 INFO     | DexSniper            | ==================================================
2026-07-31 01:05:45 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:06:15 INFO     | DexSniper            | ==================================================
2026-07-31 01:06:15 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:06:15 INFO     | DexSniper            |   Runtime: 0:10:55.661937
2026-07-31 01:06:15 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:06:15 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:06:15 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:06:15 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:06:15 INFO     | DexSniper            | ==================================================
2026-07-31 01:06:15 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:06:45 INFO     | DexSniper            | ==================================================
2026-07-31 01:06:45 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:06:45 INFO     | DexSniper            |   Runtime: 0:11:25.948907
2026-07-31 01:06:45 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:06:45 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:06:45 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:06:45 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:06:45 INFO     | DexSniper            | ==================================================
2026-07-31 01:06:45 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:07:15 INFO     | DexSniper            | ==================================================
2026-07-31 01:07:15 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:07:15 INFO     | DexSniper            |   Runtime: 0:11:56.222807
2026-07-31 01:07:15 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:07:15 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:07:15 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:07:15 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:07:15 INFO     | DexSniper            | ==================================================
2026-07-31 01:07:15 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:07:46 INFO     | DexSniper            | ==================================================
2026-07-31 01:07:46 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:07:46 INFO     | DexSniper            |   Runtime: 0:12:26.505243
2026-07-31 01:07:46 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:07:46 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:07:46 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:07:46 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:07:46 INFO     | DexSniper            | ==================================================
2026-07-31 01:07:46 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:08:16 INFO     | DexSniper            | ==================================================
2026-07-31 01:08:16 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:08:16 INFO     | DexSniper            |   Runtime: 0:12:56.779977
2026-07-31 01:08:16 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:08:16 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:08:16 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:08:16 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:08:16 INFO     | DexSniper            | ==================================================
2026-07-31 01:08:16 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:08:46 INFO     | DexSniper            | ==================================================
2026-07-31 01:08:46 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:08:46 INFO     | DexSniper            |   Runtime: 0:13:27.051589
2026-07-31 01:08:46 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:08:46 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:08:46 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:08:46 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:08:46 INFO     | DexSniper            | ==================================================
2026-07-31 01:08:46 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:09:16 INFO     | DexSniper            | ==================================================
2026-07-31 01:09:16 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:09:16 INFO     | DexSniper            |   Runtime: 0:13:57.330863
2026-07-31 01:09:16 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:09:16 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:09:16 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:09:16 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:09:16 INFO     | DexSniper            | ==================================================
2026-07-31 01:09:16 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:09:47 INFO     | DexSniper            | ==================================================
2026-07-31 01:09:47 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:09:47 INFO     | DexSniper            |   Runtime: 0:14:27.603600
2026-07-31 01:09:47 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:09:47 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:09:47 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:09:47 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:09:47 INFO     | DexSniper            | ==================================================
2026-07-31 01:09:47 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 01:10:09 INFO     | DexSniper            | ⏹️  Shutdown signal received.
2026-07-31 01:10:09 INFO     | DexSniper            | ==================================================
2026-07-31 01:10:09 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 01:10:09 INFO     | DexSniper            |   Runtime: 0:14:50.330488
2026-07-31 01:10:09 INFO     | DexSniper            |   Pairs detected: 8
2026-07-31 01:10:09 INFO     | DexSniper            |   Scams filtered: 4
2026-07-31 01:10:09 INFO     | DexSniper            |   Trades executed: 4
2026-07-31 01:10:09 INFO     | DexSniper            |   Total invested: 0.2 BSC
2026-07-31 01:10:09 INFO     | DexSniper            | ==================================================
2026-07-31 01:14:31 INFO     | DexSniper            | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-31 01:14:31 INFO     | DexSniper            | AI: Ollama ready (model: llama3.2:1b)
2026-07-31 01:14:31 INFO     | DexSniper            | 🚀 DEX Sniper | Chain: BSC | Buy: 0.05
2026-07-31 01:16:26 ERROR    | DexSniper            | Failed to parse AI JSON: {"is_scam": true, "risk_level": "HIGH", "reasoning": "Short"}}
2026-07-31 01:16:26 INFO     | DexSniper            | 🎯 SNIPE: Sherwood Protocol (WOOD)
2026-07-31 01:17:00 INFO     | DexSniper            | ⏹️ Stopped.
2026-07-31 01:23:14 INFO     | DexSniper            | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-31 01:23:14 INFO     | DexSniper            | AI: Ollama ready (model: llama3.2:1b)
2026-07-31 01:23:14 INFO     | DexSniper            | 🚀 DEX Sniper | Chain: BSC | Buy: 0.05
2026-07-31 01:24:10 WARNING  | DexSniper            | 🚫 SCAM: 神经巡游者  — Name imitates famous brands or people (ElonDoge, PepeCash), Symbol contains hype words without meaning (AI, GPT, ELON), Obvious misspellings of popular tokens
2026-07-31 01:33:55 WARNING  | DexSniper            | 🚫 SCAM: Arena Competition Protocol (aof.global) — Short
2026-07-31 01:34:31 WARNING  | DexSniper            | 🚫 SCAM: Tether USD — Short
2026-07-31 01:36:03 WARNING  | DexSniper            | 🚫 SCAM: Artificial Inu — Scam patterns
2026-07-31 01:41:19 WARNING  | DexSniper            | 🚫 SCAM: 虚空长歌  — Short reason
2026-07-31 01:41:54 WARNING  | DexSniper            | 🚫 SCAM: Cuidado — Short reason
2026-07-31 01:42:29 WARNING  | DexSniper            | 🚫 SCAM: MegaToken X — Short reason
2026-07-31 12:56:57 ERROR    | DexSniper            | Poll error: HTTPSConnectionPool(host='bsc-dataseed.binance.org', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-07-31 12:58:28 ERROR    | DexSniper            | Poll error: HTTPSConnectionPool(host='bsc-dataseed.binance.org', port=443): Read timed out.
2026-07-31 13:01:39 ERROR    | DexSniper            | Poll error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-07-31 13:03:30 ERROR    | DexSniper            | Poll error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-07-31 13:05:01 ERROR    | DexSniper            | Poll error: HTTPSConnectionPool(host='bsc-dataseed.binance.org', port=443): Read timed out.
2026-07-31 13:06:45 INFO     | DexSniper            | ⏹️ Stopped.
2026-07-31 13:06:57 INFO     | DexSniper            | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-31 13:06:57 INFO     | DexSniper            | AI: Ollama ready (model: llama3.2:1b)
2026-07-31 13:06:58 INFO     | DexSniper            | 🚀 DEX Sniper | Chain: BSC | Buy: 0.05
2026-07-31 13:09:02 WARNING  | DexSniper            | Ollama attempt 1/3 failed: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=60). Retrying...
2026-07-31 13:09:02 ERROR    | DexSniper            | Poll error: name 'time' is not defined
2026-07-31 13:11:17 WARNING  | DexSniper            | 🚫 SCAM: Tether USD — Short
2026-07-31 13:12:53 WARNING  | DexSniper            | 🚫 SCAM: Tether USD — Short
2026-07-31 13:12:57 WARNING  | DexSniper            | 🚫 SCAM: Quantum Tide  — Short
2026-07-31 13:14:29 WARNING  | DexSniper            | 🚫 SCAM: MoonPepe — Scam patterns
2026-07-31 13:15:04 WARNING  | DexSniper            | 🚫 SCAM: Spacesuit — Short
2026-07-31 13:16:09 WARNING  | DexSniper            | 🚫 SCAM: AnsemDog — Name imitates famous brands or people without basis
2026-07-31 13:18:45 WARNING  | DexSniper            | 🚫 SCAM: Tether USD — Short reason
2026-07-31 13:18:50 WARNING  | DexSniper            | 🚫 SCAM: 7  Coin — Short
2026-07-31 13:21:25 WARNING  | DexSniper            | 🚫 SCAM: 数据远征者 — Short
2026-07-31 13:21:30 WARNING  | DexSniper            | 🚫 SCAM: SuperApe🐰 — Short reason
2026-07-31 13:25:07 WARNING  | DexSniper            | 🚫 SCAM: 税点全部回购MarsAi发射台平台币 — Short
2026-07-31 13:25:11 WARNING  | DexSniper            | 🚫 SCAM: MarsCoin — Short
2026-07-31 13:26:46 WARNING  | DexSniper            | 🚫 SCAM: Rocket SUPERCYCLE👑 — Short
2026-07-31 13:29:53 WARNING  | DexSniper            | 🚫 SCAM: Novo Nordisk (Derivatives) — Short
2026-07-31 13:30:58 WARNING  | DexSniper            | 🚫 SCAM: Ouster Tokenized Stock (Ondo) — Short reason
2026-07-31 13:32:33 WARNING  | DexSniper            | 🚫 SCAM: 深夜演算师  — Short reason
2026-07-31 13:32:38 WARNING  | DexSniper            | 🚫 SCAM: 蝴蝶效应 — Short
2026-07-31 13:36:14 WARNING  | DexSniper            | 🚫 SCAM: MMT ETF Presale — Short
